Rank,Nome,Plataforma,Ano,Genero,Publicadora,Vendas_AmericaDoNorte,Vendas_EU,Vendas_JP,Vendas_Outras,Vendas_Global
3,Mario Kart Wii,0,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,0,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33
9,New Super Mario Bros. Wii,0,2009,Platform,Nintendo,14.59,07.06,4.7,2.26,28.62
15,Wii Fit Plus,0,2009,Sports,Nintendo,09.09,8.59,2.53,1.79,22
16,Kinect Adventures!,0,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
27,Pokemon Black/Pokemon White,0,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
30,Call of Duty: Modern Warfare 3,0,2011,Shooter,Activision,09.03,4.28,0.13,1.32,14.76
32,Call of Duty: Black Ops,0,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
37,Call of Duty: Modern Warfare 2,0,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,0,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
40,Super Smash Bros. Brawl,0,2008,Fighting,Nintendo,6.75,2.61,2.66,01.02,13.04
41,Call of Duty: Black Ops,0,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
43,Mario Kart 7,0,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
46,Pokemon HeartGold/Pokemon SoulSilver,0,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
52,Grand Theft Auto IV,0,2008,Action,Take-Two Interactive,6.76,3.1,0.14,01.03,11.02
54,Super Mario 3D Land,0,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,0,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,0,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,0,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
61,Just Dance 3,0,2011,Misc,Ubisoft,06.05,3.15,0,01.07,10.26
63,Halo: Reach,0,2010,Shooter,Microsoft Game Studios,07.03,1.98,0.08,0.78,9.88
69,Just Dance 2,0,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
76,The Elder Scrolls V: Skyrim,0,2011,Role-Playing,Bethesda Softworks,05.03,2.86,0.1,0.85,8.84
79,Wii Party,0,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
84,The Sims 3,1,2009,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11
89,Pokémon Platinum Version,0,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
92,Super Mario Galaxy 2,0,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
99,Call of Duty: World at War,0,2008,Shooter,Activision,4.79,1.9,0,0.69,7.37
100,Battlefield 3,0,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
103,Just Dance,0,2009,Misc,Ubisoft,3.51,03.03,0,0.73,7.27
104,Battlefield 3,0,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
116,Uncharted 3: Drake's Deception,0,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,01.06,6.83
118,Zumba Fitness,0,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81
119,Gears of War 2,0,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
120,Uncharted 2: Among Thieves,0,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73
122,FIFA 12,0,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
124,Red Dead Redemption,0,2010,Action,Take-Two Interactive,2.79,2.61,0.17,01.03,6.6
